pha,H,G,diameter,albedo,rot_per,BV,UB,spec_B,spec_T,e,a,q,i,om,w,ma,ad,n,per,per.y,moid,class,data_arc,condition_code
0,13.22,,,,8.0969,,,7,153,0.1739,2.202,1.819,3.16,191.9,167.02,272.84,2.59,0.3016,1190.0,3.27,0.816,8,22204.0,0
0,13.45,,,,7.5888,,,7,153,0.0873,2.419,2.208,3.57,168.32,306.01,315.72,2.63,0.2619,1370.0,3.76,1.23,8,17917.0,0
0,11.85,,,,5.511,,,7,153,0.0242,2.85,2.781,3.26,86.49,189.65,291.54,2.92,0.2049,1760.0,4.81,1.77,8,28707.0,0
0,12.55,,,,7.22,,,7,153,0.0786,2.843,2.619,1.99,178.97,221.22,171.51,3.07,0.2056,1750.0,4.79,1.63,8,18142.0,0
0,13.46,,,,,,,4,153,0.1944,2.233,1.799,5.6,35.59,283.53,277.08,2.67,0.2953,1220.0,3.34,0.798,8,29819.0,0
0,13.02,,,,,,,7,153,0.1179,2.416,2.131,9.43,77.84,206.07,158.6,2.7,0.2625,1370.0,3.76,1.12,8,24318.0,0
0,15.85,,,,2.206,,,245,153,0.369,1.879,1.186,4.77,107.34,16.14,325.04,2.57,0.3827,941.0,2.58,0.203,0,14953.0,0
0,12.25,,,,,,,7,153,0.0273,2.842,2.765,3.24,92.88,18.93,96.33,2.92,0.2057,1750.0,4.79,1.78,8,29672.0,0
0,13.88,,,,,,,7,153,0.2108,2.384,1.882,2.76,139.43,263.28,276.73,2.89,0.2677,1340.0,3.68,0.893,8,29161.0,0
0,13.85,,,,,,,7,153,0.2806,2.14,1.539,26.33,266.77,239.91,127.37,2.74,0.3149,1140.0,3.13,0.662,9,15227.0,0
0,15.83,,,,,,,7,153,0.0991,1.935,1.743,20.23,254.31,253.67,90.13,2.13,0.3662,983.0,2.69,0.837,7,14617.0,0
0,13.43,,,,2.574,,,62,153,0.2071,1.918,1.52,22.07,19.92,293.74,50.53,2.31,0.3712,970.0,2.66,0.616,9,32852.0,0
0,12.22,,,,2.91,,,7,153,0.1493,2.691,2.29,13.92,111.8,200.05,299.73,3.09,0.2232,1610.0,4.42,1.28,8,15710.0,0
0,12.5,,,,,,,7,153,0.104,3.052,2.735,0.41,335.33,181.94,227.63,3.37,0.1848,1950.0,5.33,1.74,8,16645.0,0
0,13.63,,,,,,,7,153,0.2124,2.454,1.933,5.8,113.02,255.09,195.0,2.97,0.2564,1400.0,3.84,0.942,8,25812.0,0
0,15.35,,,,2.862,,,7,153,0.4574,2.716,1.474,29.71,129.42,283.58,307.16,3.96,0.2202,1630.0,4.48,0.71,9,15631.0,0
0,12.63,,,,,,,7,153,0.1103,2.759,2.454,6.64,4.72,299.2,291.65,3.06,0.2151,1670.0,4.58,1.45,8,20219.0,0
0,13.73,,,,,,,7,153,0.0955,2.241,2.027,3.15,187.11,182.88,171.87,2.46,0.2937,1230.0,3.36,1.03,8,25663.0,0
0,13.0,,,,2.9807,,,20,153,0.1176,2.219,1.958,4.87,197.16,237.74,205.06,2.48,0.2981,1210.0,3.31,0.978,8,24772.0,0
0,13.58,,,,,,,7,153,0.05,2.477,2.353,3.9,274.53,163.27,341.33,2.6,0.2529,1420.0,3.9,1.37,8,25533.0,0
0,16.39,,,,3.1944,,,7,153,0.32,1.645,1.118,36.77,232.51,288.89,182.32,2.17,0.4673,770.0,2.11,0.295,0,13270.0,0
0,11.0,,,,6.725,,,7,153,0.1735,4.006,3.311,6.05,185.77,122.54,229.03,4.7,0.1229,2930.0,8.02,2.3,10,19000.0,0
0,13.38,,,,2.832,,,7,153,0.1536,2.341,1.981,5.72,92.8,61.23,196.55,2.7,0.2752,1310.0,3.58,0.999,8,41180.0,0
0,12.32,,,,33.42,,,1,153,0.4059,2.774,1.648,28.87,217.42,107.69,292.29,3.9,0.2133,1690.0,4.62,0.833,9,21607.0,0
0,12.22,,,,,,,7,153,0.1872,3.228,2.624,6.43,328.5,108.38,329.86,3.83,0.1699,2120.0,5.8,1.65,10,33186.0,0
0,14.2,,,,,,,7,153,0.094,2.152,1.949,1.12,273.86,205.62,27.34,2.35,0.3123,1150.0,3.16,0.965,8,25534.0,0
0,11.47,,,,5.022,,,7,153,0.1461,3.388,2.893,11.01,78.47,235.52,27.76,3.88,0.1581,2280.0,6.24,1.9,10,20096.0,0
0,12.94,,,,312.0,,,7,153,0.0744,2.371,2.195,7.42,72.39,79.79,173.97,2.55,0.2699,1330.0,3.65,1.22,8,26296.0,0
0,14.1,,,,,,,7,153,0.2383,2.388,1.819,4.05,161.22,182.01,225.7,2.96,0.267,1350.0,3.69,0.812,8,22118.0,0
0,13.78,,,,4.72,,,7,153,0.0915,2.246,2.041,4.3,341.6,321.08,37.03,2.45,0.2928,1230.0,3.37,1.03,8,24528.0,0
